#1
# Munich TRY Weather Data - Winter Heating Season
# Test Reference Year data for Munich, Germany (48.14°N, 11.58°E, 519m)
# Compatible with Modelica.Blocks.Sources.CombiTimeTable
# Period: 10-day January winter scenario
#
# Columns:
#   1: Time [s] - seconds from simulation start
#   2: T_ambient [°C] - Outdoor air temperature
#   3: GHI [W/m²] - Global Horizontal Irradiance
#   4: WindSpeed [m/s] - Wind speed at 10m height
#
# Based on DWD TRY data characteristics for Munich region
# Heating degree days reference: 3400 Kd/a (Munich)
#
double weather(241,4)
0	-3.0	0	2.5
3600	-4.2	0	2.8
7200	-5.0	0	3.0
10800	-5.5	0	2.2
14400	-5.2	0	1.8
18000	-4.0	10	1.5
21600	-2.5	45	1.2
25200	-1.0	120	1.5
28800	0.5	180	2.0
32400	1.8	210	2.2
36000	2.5	190	2.5
39600	2.8	150	2.8
43200	2.5	100	2.5
46800	1.5	50	2.2
50400	0.5	10	2.0
54000	-0.5	0	1.8
57600	-1.5	0	2.0
61200	-2.5	0	2.5
64800	-3.2	0	2.8
68400	-3.8	0	3.0
72000	-4.2	0	2.5
75600	-4.5	0	2.2
79200	-4.8	0	2.0
82800	-5.0	0	1.8
86400	-5.2	0	2.0
90000	-5.5	0	2.2
93600	-5.8	0	2.5
97200	-6.0	0	2.8
100800	-5.5	0	2.5
104400	-4.5	15	2.0
108000	-3.0	60	1.8
111600	-1.5	150	1.5
115200	0.0	200	1.8
118800	1.2	220	2.0
122400	2.0	200	2.2
126000	2.2	160	2.5
129600	1.8	100	2.2
133200	1.0	40	2.0
136800	0.0	5	1.8
140400	-1.0	0	2.0
144000	-2.0	0	2.2
147600	-3.0	0	2.5
151200	-3.5	0	2.8
154800	-4.0	0	2.5
158400	-4.2	0	2.2
162000	-4.5	0	2.0
165600	-4.8	0	1.8
169200	-5.0	0	1.5
172800	-4.5	0	1.2
176400	-4.0	0	1.5
180000	-3.5	0	1.8
183600	-3.0	0	2.0
187200	-2.5	0	1.8
190800	-1.5	20	1.5
194400	0.0	80	1.2
198000	1.5	160	1.5
201600	3.0	210	1.8
205200	4.5	240	2.0
208800	5.5	220	2.2
212400	5.8	180	2.0
216000	5.5	120	1.8
219600	4.5	60	1.5
223200	3.5	15	1.2
226800	2.5	0	1.5
230400	1.5	0	1.8
234000	0.5	0	2.0
237600	0.0	0	2.2
241200	-0.5	0	2.0
244800	-1.0	0	1.8
248400	-1.5	0	1.5
252000	-2.0	0	1.2
255600	-2.5	0	1.0
259200	-2.0	0	0.8
262800	-1.5	0	1.0
266400	-1.0	0	1.2
270000	-0.5	0	1.5
273600	0.0	5	1.5
277200	1.0	30	1.2
280800	2.5	100	1.0
284400	4.0	180	1.2
288000	5.5	230	1.5
291600	6.5	250	1.8
295200	7.2	240	2.0
298800	7.5	200	1.8
302400	7.2	140	1.5
306000	6.5	80	1.2
309600	5.5	25	1.0
313200	4.5	5	1.2
316800	3.5	0	1.5
320400	2.5	0	1.8
324000	2.0	0	2.0
327600	1.5	0	1.8
331200	1.0	0	1.5
334800	0.5	0	1.2
338400	0.0	0	1.0
342000	-0.5	0	0.8
345600	-1.0	0	1.0
349200	-2.0	0	1.5
352800	-3.0	0	2.0
356400	-4.0	0	2.5
360000	-5.0	0	3.0
363600	-5.5	5	3.2
367200	-5.0	40	2.8
370800	-4.0	100	2.5
374400	-3.0	150	2.8
378000	-2.0	170	3.0
381600	-1.5	160	3.2
385200	-1.8	130	3.0
388800	-2.2	80	2.8
392400	-2.8	40	2.5
396000	-3.5	10	2.8
399600	-4.5	0	3.0
403200	-5.5	0	3.2
406800	-6.5	0	3.5
410400	-7.0	0	3.8
414000	-7.5	0	4.0
417600	-8.0	0	3.5
421200	-8.2	0	3.2
424800	-8.5	0	3.0
428400	-8.8	0	2.8
432000	-9.0	0	2.5
435600	-9.2	0	2.8
439200	-9.5	0	3.0
442800	-9.8	0	3.2
446400	-9.5	0	3.0
450000	-8.5	10	2.8
453600	-7.0	50	2.5
457200	-5.5	120	2.2
460800	-4.0	180	2.5
464400	-3.0	200	2.8
468000	-2.5	190	3.0
471600	-2.8	150	2.8
475200	-3.5	100	2.5
478800	-4.5	50	2.2
482400	-5.5	15	2.5
486000	-6.5	0	2.8
489600	-7.5	0	3.0
493200	-8.0	0	3.2
496800	-8.5	0	3.0
500400	-8.8	0	2.8
504000	-9.0	0	2.5
507600	-9.2	0	2.2
511200	-9.5	0	2.0
514800	-9.8	0	1.8
518400	-9.5	0	1.5
522000	-9.0	0	1.8
525600	-8.5	0	2.0
529200	-8.0	0	2.2
532800	-7.5	0	2.0
536400	-6.5	15	1.8
540000	-5.0	60	1.5
543600	-3.5	140	1.8
547200	-2.0	200	2.0
550800	-0.5	230	2.2
554400	0.5	220	2.0
558000	1.0	180	1.8
561600	0.8	120	1.5
565200	0.2	60	1.2
568800	-0.5	20	1.5
572400	-1.5	5	1.8
576000	-2.5	0	2.0
579600	-3.0	0	2.2
583200	-3.5	0	2.0
586800	-4.0	0	1.8
590400	-4.2	0	1.5
594000	-4.5	0	1.2
597600	-4.8	0	1.0
601200	-5.0	0	0.8
604800	-4.5	0	1.0
608400	-4.0	0	1.2
612000	-3.5	0	1.5
615600	-3.0	0	1.8
619200	-2.5	5	1.5
622800	-1.5	25	1.2
626400	0.0	90	1.0
630000	1.5	170	1.2
633600	3.0	220	1.5
637200	4.5	250	1.8
640800	5.5	240	2.0
644400	6.0	200	1.8
648000	5.8	140	1.5
651600	5.0	80	1.2
655200	4.0	30	1.0
658800	3.0	5	1.2
662400	2.0	0	1.5
666000	1.0	0	1.8
669600	0.5	0	2.0
673200	0.0	0	1.8
676800	-0.5	0	1.5
680400	-1.0	0	1.2
684000	-1.5	0	1.0
687600	-2.0	0	0.8
691200	-1.5	0	1.0
694800	-1.0	0	1.2
698400	-0.5	0	1.5
702000	0.0	0	1.8
705600	0.5	10	1.5
709200	1.5	40	1.2
712800	3.0	80	1.0
716400	4.5	120	1.2
720000	5.5	140	1.5
723600	6.2	130	1.8
727200	6.5	110	2.0
730800	6.2	90	1.8
734400	5.8	60	1.5
738000	5.0	30	1.2
741600	4.0	10	1.0
745200	3.0	0	1.2
748800	2.0	0	1.5
752400	1.5	0	1.8
756000	1.0	0	2.0
759600	0.5	0	1.8
