#1
# Building Occupancy and Internal Gains Data
# Compatible with Modelica.Blocks.Sources.CombiTimeTable
# Based on VDI 2078 / DIN EN 15251 German residential patterns
# Format matches GreenCity MF5_WholeYear.txt structure
#
# Building: Three-zone residential (Living, Cellar/Hobby, Roof/Office)
# Household: Family of 4 (2 adults, 2 children)
# Pattern: 10-day winter scenario with weekday/weekend variation
#
# Columns:
#   1: Time [s] - seconds from simulation start
#   2: nPersons_living [-] - Number of people in living zone
#   3: nPersons_cellar [-] - Number of people in cellar zone
#   4: nPersons_roof [-] - Number of people in roof/office zone
#   5: P_appliances_living [W] - Appliance power in living zone
#   6: P_appliances_cellar [W] - Appliance power in cellar zone
#   7: P_appliances_roof [W] - Appliance power in roof zone
#   8: Presence [%] - Overall building presence (0-100%)
#
# Heat gain per person: ~80W (seated, light activity per VDI 2078)
#
double occupancy(241,8)
0	0	0	0	30	20	10	0
3600	0	0	0	30	20	10	0
7200	0	0	0	30	20	10	0
10800	0	0	0	30	20	10	0
14400	0	0	0	30	20	10	0
18000	0	0	0	30	20	10	0
21600	2	0	0	150	20	50	50
25200	3	0	1	300	20	150	100
28800	1	0	1	100	20	200	50
32400	0	0	1	80	20	250	25
36000	0	0	1	80	20	250	25
39600	0	0	1	80	20	200	25
43200	0	0	1	150	20	200	25
46800	0	0	1	80	20	250	25
50400	0	0	1	80	20	250	25
54000	0	0	1	80	20	200	25
57600	0	0	1	80	20	200	25
61200	2	0	1	200	20	150	75
64800	3	0	1	400	20	100	100
68400	4	0	0	500	20	50	100
72000	4	0	0	350	50	30	100
75600	3	1	0	300	80	20	100
79200	2	1	0	250	80	20	75
82800	0	0	0	50	20	10	0
86400	0	0	0	30	20	10	0
90000	0	0	0	30	20	10	0
93600	0	0	0	30	20	10	0
97200	0	0	0	30	20	10	0
100800	0	0	0	30	20	10	0
104400	0	0	0	30	20	10	0
108000	2	0	0	150	20	50	50
111600	3	0	1	300	20	150	100
115200	1	0	1	100	20	200	50
118800	0	0	1	80	20	250	25
122400	0	0	1	80	20	250	25
126000	0	0	1	80	20	200	25
129600	0	0	1	150	20	200	25
133200	0	0	1	80	20	250	25
136800	0	0	1	80	20	250	25
140400	0	0	1	80	20	200	25
144000	0	0	1	80	20	200	25
147600	2	0	1	200	20	150	75
151200	3	0	1	400	20	100	100
154800	4	0	0	500	20	50	100
158400	4	0	0	350	50	30	100
162000	3	1	0	300	80	20	100
165600	2	1	0	250	80	20	75
